Label,Centroid.X,Centroid.Y
135,1569.466,256.286
136,1096.112,258.596
137,1426.590,259.891
138,819.146,259.923
139,839.008,259.361
140,1241.310,260.095
141,947.784,261.264
142,990.131,260.424
143,1055.978,262.473
144,1260.566,264.010
145,1111.322,261.884
146,1467.464,262.289
147,1375.236,259.979
148,1041.867,263.899
149,1587.360,267.297
150,918.500,267.822
151,1207.810,267.156
152,1226.176,265.389
153,2059.981,268.792
154,900.123,268.843
155,933.512,265.859
156,1026.399,267.749
157,1006.892,268.659
158,1189.348,272.857
159,1343.167,271.299
160,1402.776,267.445
161,982.579,273.476
162,1081.509,271.678
163,852.079,270.900
164,1160.450,274.054
165,1368.162,273.000
166,1544.507,268.182
167,1859.865,269.258
168,964.398,271.473
169,1299.882,272.351
170,1389.195,277.645
171,1749.333,271.852
172,818.730,274.947
173,836.669,275.732
174,1324.687,278.582
175,1436.637,276.440
176,1480.092,277.969
177,1247.664,276.820
178,1804.918,277.265
179,1121.515,278.538
180,1417.313,277.972
181,1877.097,285.406
182,947.735,281.680
183,1044.537,279.846
184,1229.627,280.118
185,865.292,282.500
186,1281.607,284.663
187,2038.220,281.749
188,879.034,279.844
189,1001.219,286.355
190,1104.152,286.226
191,1142.951,282.109
192,894.078,287.454
193,926.743,285.204
194,1022.860,281.492
195,1176.173,285.737
196,1206.610,287.847
197,1858.513,282.946
198,1262.338,287.876
199,1461.030,283.200
200,1611.277,287.959
201,909.481,285.362
202,1301.590,286.779
203,1404.284,283.383
204,1355.314,291.363
205,1078.682,285.393
206,826.261,289.967
207,850.397,286.832
208,968.379,288.267
209,1845.758,292.330
210,1557.579,289.533
211,1035.551,291.254
212,1058.197,294.955
213,1131.921,292.301
214,813.241,294.850
215,1158.711,293.103
216,2047.127,294.385
217,982.192,295.148
218,1240.159,298.072
219,1313.551,295.369
220,1368.401,295.404
221,799.987,294.757
222,879.969,292.565
223,1342.152,300.251
224,1476.463,296.381
225,1520.626,295.240
226,2059.394,293.023
227,840.286,300.234
228,1189.582,297.102
229,1222.639,295.084
230,1444.623,298.458
231,784.227,296.004
232,1018.509,298.596
233,958.192,300.584
234,1393.672,301.829
235,934.494,298.376
236,1075.017,301.415
237,1327.399,297.560
238,868.544,297.244
239,1122.142,303.994
240,1651.357,298.310
241,1860.701,303.264
242,857.013,299.375
243,1146.827,309.940
244,2089.096,306.904
245,1100.095,304.107
246,1177.600,301.281
247,1893.679,304.367
248,889.238,306.674
249,907.260,306.472
250,1264.337,306.832
251,1286.231,301.410
252,1303.218,306.963
253,1758.839,318.617
254,994.737,311.052
255,1375.912,313.340
256,923.729,311.000
257,1031.762,309.189
258,1215.162,311.589
259,1827.456,314.276
260,945.094,312.030
261,1461.550,311.195
262,1165.800,311.603
263,1199.926,308.365
264,829.189,314.475
265,974.358,313.651
266,1483.398,313.817
267,1531.647,312.397
268,2053.115,311.381
269,799.216,314.266
270,856.253,316.564
271,1324.406,313.817
272,1431.409,313.017
273,1089.942,316.551
274,1228.574,313.782
275,1411.266,318.869
276,1046.779,318.134
277,1183.091,318.418
278,1290.740,318.312
279,1011.277,319.949
280,1595.432,317.654
281,745.977,313.568
282,1128.951,322.606
283,1342.072,325.174
284,876.450,318.833
285,1071.292,322.174
286,1239.427,321.116
287,813.655,317.691
288,1737.603,328.650
289,960.596,323.574
290,1109.970,325.592
291,1361.259,329.220
292,1619.609,321.932
293,1267.875,323.264
294,1873.405,324.675
295,2046.428,327.762
296,890.323,327.496
297,1196.896,325.924
298,1397.543,332.566
299,1704.724,323.665
300,1248.754,335.739
301,924.804,326.475
302,1656.661,328.747
303,1026.171,326.577
304,1316.660,330.516
305,1423.411,329.562
306,1463.016,330.570
307,1964.138,329.843
308,2084.821,334.190
309,1057.473,333.726
310,1438.442,333.183
311,2113.293,338.059
312,816.156,330.365
313,909.689,334.067
314,943.467,331.637
315,1144.696,332.610
316,1166.444,330.433
317,1209.483,331.901
318,1569.348,338.356
319,997.960,332.824
320,1226.588,334.638
