X,Y,Z
44996.4,43432.2,221.631
44937.1,43489.2,266.941
44875,43561.7,185.119
44995,43442.8,192.02
45082.3,43372.3,58.0128
45418,43009.3,262.744
44999.1,43446.7,120.246
45064.8,43382.7,122.663
45092.6,43347.5,199.464
44891.7,43533.3,284.377
45037.3,43393.4,257.766
44920.9,43512.6,256.558
44854.4,43602.6,60.2502
45072.6,43366.7,176.934
44929.1,43511.2,212.56
45459.9,42987.9,131.257
45099.9,43348.4,140.927
45035.1,43375.5,174.895
44817.4,43603,77.291
45161.2,43261.9,118.394
45422.3,42980.4,220.615
44869.5,43561.6,75.0538
45144.9,43276.6,115.46
44935,43466.1,264.179
45160.9,43258.8,97.3773
45166.1,43250.5,131.715
45171.6,43260.3,56.2317
44908.5,43511,100.998
45067,43360.1,123.798
45392.7,43030.1,93.3658
44807.1,43614.6,79.9687
45375,43026.2,285.211
45421.7,42994.2,175.252
45025.7,43380,233.979
45450.4,42965.1,212.851
45108.6,43313.9,86.9917
45153.9,43271.6,80.4415
45444.7,42958,273.396
45052.8,43357.1,214.143
44940.7,43481.3,172.967
45187.1,43247,87.5697
45052.6,43369.3,140.001
44982.5,43439.1,210.298
45025.6,43401.6,135.743
45071.3,43344.7,179.677
45002.7,43399.6,285.206
44884.3,43523.9,244.241
44802.2,43630.4,56.2754
44887.6,43538,115.676
44958.1,43454.7,230.677
44934,43497.2,91.59
45013.3,43413.4,151.803
44999.4,43416.7,180.954
45083.2,43353.3,102.547
44939.5,43475.1,214.275
44958.6,43467.1,126.593
44932.6,43483.5,247.62
45050.1,43388.4,61.6166
45421.9,42988.4,279.629
45013.5,43430.5,94.8439
44879.1,43540.9,224.566
45136.6,43298,118.732
45246.5,43165.2,259.992
45176,43214.9,156.141
44933.4,43455.1,213.74
45016.3,43367.8,232.691
44796.9,43607.5,120.509
45128.3,43278.6,68.6532
45039.2,43357.4,139.212
44878.9,43512.2,181.035
45051.5,43355.9,73.0295
45370.4,43010.3,279.601
45405.5,42988.3,237.115
45052.1,43324.8,277.169
44999,43383,254.239
45357.4,43025.4,266.913
44927.3,43481.3,95.1779
45033.3,43349.7,273.976
44934.6,43478.7,41.7489
45225.7,43185.5,47.4881
44928.2,43465.2,247.521
45216.7,43196.8,49.1622
44903.2,43503.4,120.904
45140.6,43275,61.8811
44989.9,43399.4,268.802
45137.5,43262.4,159.111
44776.7,43619.6,187.52
44816.4,43570.2,270.217
44837,43564.8,144.975
44806.6,43606.4,55.4037
45434.2,42965.9,164.505
45128.4,43279.7,196.786
44915.2,43498.6,90.7389
45146.6,43241.9,251.066
45156.2,43236.4,251.702
44923.1,43488.9,124.498
44962.9,43452.9,121.562
45249.4,43159.1,140.884
44810.1,43585.9,233.634
44865.1,43539.9,176.563
45061.4,43356,83.1412
45287.5,43118.2,156.637
45171,43246.6,80.2122
45184.2,43223.6,150.136
45232.8,43169.7,185.479
44850.2,43544.4,259.161
45050.3,43372.8,64.6214
45049.2,43367.2,118.144
45447,42963.1,187.115
45178.5,43243.3,68.1513
45443.1,42950.1,274.129
44859.2,43562.4,57.7115
45064.6,43361.2,48.3536
44935.8,43465.7,230.257
45173.7,43231.5,179.56
44985.6,43433.8,155.014
