X,Y,Z
45222.8,43077.4,151.126
45228.7,43122.1,153.958
45227.2,43126.5,157.013
45161.8,43143,158.166
45223.7,43139.5,161.213
45409,43109.9,160.26
44730.1,43217.9,151.766
44697.3,43254.1,150.223
44693.3,43212.3,154.115
44690.1,43224,157.048
45228.8,43216.4,152.594
45225,43238.2,160.454
44705.4,43280.5,154.636
45126.4,43306.5,155.021
45136.1,43306.8,157.2
45134.7,43305.5,159.522
45160.4,43319.8,151.311
45178.6,43337,150.609
45210.4,43344.4,151.588
45197.6,43353.4,150.517
45234.1,43292.3,153.727
45163.5,43315.8,154.229
45232.4,43295.6,160.19
45234,43300.2,160.433
45165.9,43365.7,159.848
45238,43291.7,150.496
45244.8,43298.9,151.048
45307.9,43364.1,152.11
45313.6,43271.5,154.203
45309.7,43366.3,156.352
44667.1,43431.8,154.551
44667,43390.5,156.646
44702.2,43455.3,157.822
44839.8,43409.8,151.247
44841.5,43410.9,153.642
44859.2,43413.4,154.918
44862.3,43416.5,158.332
44873.4,43419.2,157.917
44882.1,43420,158.376
44885.5,43420.2,160.432
44882.3,43424.3,160.57
45004.7,43394.4,157.371
44993.5,43398.1,158.268
44955.1,43400.6,160.285
45021.9,43453.9,159.977
45076.4,43385.1,151.38
45215.6,43373.4,154.459
45178.4,43372.8,158.647
45225.6,43409.2,157.924
45188.5,43427.2,156.234
45171.8,43367.7,160.105
45191.6,43377.8,159.599
45201.3,43377.9,160.05
45175.2,43452,159.245
45300.2,43393.8,151.795
45300.9,43428.3,155.379
45313.1,43438,154.36
45318.8,43444.4,153.955
45318.9,43463.6,154.266
45304.6,43386.1,157.8
45302.9,43388.3,156.787
45290.9,43426.4,158.104
45287.5,43434.1,156.724
45250.6,43437.1,157.766
45301.2,43444.6,157.932
45307.7,43384.6,160.659
45278.9,43416.9,160.791
45273.1,43417.3,161.066
45282.3,43419,160.417
45295.8,43424.5,160.029
45300.5,43426.7,160.735
45284.7,43432.1,160.46
45291,43435.2,159.64
45248.7,43441.1,160.588
45303.9,43448,161.29
45324.2,43457.4,160.278
45335.3,43399.6,151.098
45333.5,43446.9,154.721
45337.4,43452.8,158.153
45359.2,43419.4,160.912
44702.3,43480.5,155.16
44717.1,43476.4,159.901
45056.7,43481.8,151.09
45064.8,43530.7,151.621
45124.4,43513.9,154.353
45069.1,43533,154.947
45058.2,43492,156.705
45120.8,43509.9,156.929
45066.9,43531.9,159.648
45068.6,43535.3,160.732
45164.8,43484.4,151.7
45166.6,43486.6,154.287
45167.4,43489.5,153.926
45169.1,43497.4,154.916
45192.3,43560.5,153.857
45169.4,43502.1,156.386
45169,43507.3,157.89
45171.9,43514.8,159.688
45154.3,43515.5,160.304
45191.2,43522.2,160.457
45165.7,43523.2,160.305
45162.7,43532.9,159.878
45162.5,43543.1,160.416
45322.4,43470,155.014
45287.4,43481.2,154.578
45279.1,43507.4,155.282
45317.2,43465.6,157.605
45322.8,43472.1,157.186
45270.9,43546.1,156.912
45330.4,43467.9,160.446
45322.1,43474.2,160.353
45267.5,43555.9,159.365
45405.5,43494.4,154.014
45390.1,43543.4,154.481
45376,43544.9,157.044
45388.9,43545.3,157.667
45454.2,43516.3,150.919
45451.2,43519.3,154.897
45454.5,43505.2,157.226
45449.3,43519.8,157.811
45448.5,43547.5,160.911
44789.5,43581.6,154.609
44785,43582.1,157.428
44791,43583.7,157.06
44788.7,43582,159.282
45105.1,43634.6,154.591
45107.5,43633.8,157.208
45117.5,43592.9,160.314
45232.4,43589.6,154.549
45219.2,43590.2,157.743
45190.3,43561.3,159.287
45230.5,43606.7,160.443
45145.2,43634.6,161.532
45321.9,43567.1,150.812
45256.2,43563.1,160.168
45240.3,43590,161.002
45375.3,43601.2,150.84
45387.1,43572.6,154.343
45333.5,43604.8,153.949
45337.7,43618.3,154.644
45382.5,43590.1,157.148
45415.6,43606.5,157.359
45428.8,43575.1,160.741
45380.6,43576.5,160.533
45403.5,43592.1,160.295
44660,42967.5,166.578
45035.6,42883.7,166.037
45081.8,42915.2,163.81
45085.1,42929.4,162.953
45079.4,42910.4,166.552
45083.3,42925.3,165.952
45077.5,42910,169.781
45075.5,42905.7,172.886
45077.2,42915.9,171.759
45225.4,42965.1,172.269
45272.9,42953.3,166.3
45273.6,42956.7,169.326
45237.4,42973.9,169.368
45272,42968.9,172.863
45237.8,42969.9,172.312
45271.6,42978,172.088
45377.2,42973.1,166.033
45128.4,43064.5,163.209
45127.5,43066.9,166.341
